,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,NumberOfUse,BuildingAge,SiteEnergyUse(log(kBtu))
0,1,NonResidential,Hotel,Downtown,1927,1.0,12,88434,0,88434,Hotel,88434.0,Without,0.0,Without,0.0,60.0,182.5,7226362.5,2003882.0,3946027.0,1276453.0,Compliant,Not outlier,249.98,2.83,1,89,15.793246355498427
1,2,NonResidential,Hotel,Downtown,1996,1.0,11,103566,15064,88502,Hotel,83880.0,Parking,15064.0,Restaurant/Bar,4622.0,61.0,176.1000061,8387933.0,0.0,3242851.0,5145082.0,Compliant,Not outlier,295.86,2.86,3,20,15.942304683370711
2,3,NonResidential,Hotel,Downtown,1969,1.0,41,956110,196718,759392,Hotel,756493.0,Without,0.0,Without,0.0,43.0,241.8999939,72587024.0,21566554.0,49526664.0,1493800.0,Compliant,Not outlier,2089.28,2.19,1,47,18.10029673103805
3,5,NonResidential,Hotel,Downtown,1926,1.0,10,61320,0,61320,Hotel,61320.0,Without,0.0,Without,0.0,56.0,216.1999969,6794584.0,2214446.25,2768924.0,1811213.0,Compliant,Not outlier,286.43,4.67,1,90,15.731636382206883
5,9,Nonresidential COS,Other,Downtown,1999,1.0,2,97288,37198,60090,Public service,88830.0,Without,0.0,Without,0.0,,316.2999878,12086616.0,0.0,7371434.0,4715182.0,Compliant,Not outlier,301.81,3.1,1,17,16.307609282667034
6,10,NonResidential,Hotel,Downtown,1926,1.0,11,83008,0,83008,Hotel,81352.0,Without,0.0,Without,0.0,27.0,146.6000061,5758795.0,0.0,2811215.0,2947580.0,Compliant,Not outlier,176.14,2.12,1,90,15.566238809397522
7,11,NonResidential,Other,Downtown,1926,1.0,8,102761,0,102761,Entertainment,102761.0,Without,0.0,Without,0.0,,141.6999969,6298131.5,2276286.5,3636655.0,385189.0,Compliant,Not outlier,221.51,2.16,1,90,15.655763560069461
8,12,NonResidential,Hotel,Downtown,1904,1.0,15,163984,0,163984,Hotel,163984.0,Without,0.0,Without,0.0,43.0,180.8999939,13723820.0,0.0,7297919.0,6425900.0,Compliant,Not outlier,392.16,2.39,1,112,16.43464356716476
10,15,NonResidential,Hotel,Downtown,1969,1.0,11,153163,19279,133884,Hotel,133884.0,Without,0.0,Without,0.0,30.0,228.1999969,16016644.0,5237165.5,6187627.0,4591850.0,Compliant,Not outlier,691.26,4.51,1,47,16.589138989518958
11,16,NonResidential,Hotel,Downtown,1998,1.0,25,333176,61161,272015,Hotel,336640.0,Without,0.0,Without,0.0,36.0,199.0,26941110.0,5999360.5,18083049.0,2858700.0,Compliant,Not outlier,740.97,2.22,1,18,17.10916393077029
